Acalypha wilkesiana
Adenium obesum
Adiantum capillus-veneris
Adiantum caudatum
Adiantum hispidulum
Adiantum pedatum
Adiantum raddianum
Adiantum tenerum
Aechmea fasciata
Agapanthus africanus
Agave parryi
Allamanda cathartica
Alpinia purpurata
Anthurium andraeanum
Araucaria heterophylla
Ardisia crenata
Asparagus densiflorus
Aspidistra elatior
Asplenium nidus
Aucuba japonica
Beaucarnea recurvata
Billbergia nutans
Bougainvillea glabra
Calliandra haematocephala
Camellia japonica
Capsicum annuum
Caryota mitis
Catharanthus roseus
Celosia argentea
Chamaerops humilis
Chlorophytum comosum
Clerodendrum thomsoniae
Codiaeum variegatum
Coffea arabica
Convallaria majalis
Crassula ovata
Crossandra infundibuliformis
Cuphea ignea
Cycas revoluta
Cyclamen persicum
Cyperus papyrus
Cyrtomium falcatum
Darlingtonia californica
Dieffenbachia seguine
Dionaea muscipula
Dracaena fragrans
Dracaena reflexa
Drosera capensis
Drosera rotundifolia
Dypsis lutescens
Echeveria agavoides
Epiphyllum oxypetalum
Epipremnum aureum
Episcia cupreata
Euphorbia milii
Euphorbia pulcherrima
Fatsia japonica
Ficus benjamina
Ficus elastica
Ficus lyrata
Ficus pumila
Gardenia jasminoides
Gasteria acinacifolia
Gasteria carinata
Gloriosa superba
Guzmania lingulata
Haworthia cooperi
Haworthia cymbiformis
Hedera helix
Heliconia psittacorum
Helleborus niger
Hibiscus rosa-sinensis
Hoya carnosa
Hyacinthus orientalis
Hydrangea macrophylla
Hymenocallis littoralis
Hypoestes phyllostachya
Iris reticulata
Isolepis cernua
Ixora coccinea
Jasminum polyanthum
Juncus effusus
Justicia carnea
Kalanchoe blossfeldiana
Kalanchoe daigremontiana
Kalanchoe tomentosa
Lantana camara
Lilium longiflorum
Lycoris radiata
Mimosa pudica
Monstera adansonii
Monstera deliciosa
Muehlenbeckia complexa
Muscari botryoides
Musella lasiocarpa
Narcissus jonquilla
Narcissus papyraceus
Neomarica gracilis
Neomarica northiana
Nerium oleander
Nertera granadensis
Oxalis triangularis
Pachira aquatica
Pachypodium lamerei
Pachystachys lutea
Passiflora caerulea
Pelargonium peltatum
Pellaea rotundifolia
Peperomia obtusifolia
Philodendron bipinnatifidum
Philodendron hederaceum
Phoenix roebelenii
Pilea cadierei
Platycerium bifurcatum
Plumeria rubra
Pteris cretica
Radermachera sinica
Rhapis excelsa
Rhododendron simsii
Rosa chinensis
Russelia equisetiformis
Sansevieria cylindrica
Sansevieria trifasciata
Sarracenia purpurea
Saxifraga stolonifera
Scadoxus multiflorus
Schefflera actinophylla
Schefflera arboricola
Scindapsus pictus
Selaginella kraussiana
Solanum pseudocapsicum
Soleirolia soleirolii
Spathiphyllum wallisii
Strelitzia reginae
Syngonium podophyllum
Tacca chantrieri
Tillandsia ionantha
Tolmiea menziesii
Trachycarpus fortunei
Tradescantia pallida
Tradescantia spathacea
Tradescantia zebrina
Zamia furfuracea
Zamioculcas zamiifolia
